Country,Country,3TC | Actual,3TC | Computed,3TC | Diff (Comp-Act),ABC | Actual,ABC | Computed,ABC | Diff (Comp-Act),AZT | Actual,AZT | Computed,AZT | Diff (Comp-Act),ddl | Actual,ddl | Computed,ddl | Diff (Comp-Act),d4T | Actual,d4T | Computed,d4T | Diff (Comp-Act),EFV | Actual,EFV | Computed,EFV | Diff (Comp-Act),FTC | Actual,FTC | Computed,FTC | Diff (Comp-Act),LPV/r | Actual,LPV/r | Computed,LPV/r | Diff (Comp-Act),NVP | Actual,NVP | Computed,NVP | Diff (Comp-Act),TDF | Actual,TDF | Computed,TDF | Diff (Comp-Act),ATV/r | Actual,ATV/r | Computed,ATV/r | Diff (Comp-Act),Overall | Actual,Overall | Computed,Overall | Diff (Comp-Act)
Benin,China,400.556193,395.28116527159136,-5.275027728408645,30.52022018,30.50120493881021,-0.0190152411897877,171.8544625,169.9409362841666,-1.9135262158334,0.8747829865,0.8747829864629778,-3.7022163112965245e-11,4.482264043,4.4822640428615195,-1.3848033830754503e-10,255.9980365,251.8355145382194,-4.162521961780612,85.84425354,84.36350781010003,-1.4807457298999651,46.00300049,45.59711695091912,-0.40588353908087527,180.47193,178.35946533884496,-2.1124646611550304,289.014673,276.1967975586514,-12.817875441348633,4.68317499,4.608271707919331,-0.07490328208066899,1470.302991,1442.0410274285468,-28.26196357145318
Bermuda,Colombia,0.8773595101,0.8773595101021401,2.1400659022674517e-12,0.003500595793,0.003500595793493165,4.931649706663155e-13,0.3263067351,0.32630673510556163,5.5616067307084904e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.6787872786,0.6787872786204001,2.0400126032882326e-11,0.2470798543,0.24707985427477264,-2.5227375743952507e-11,0.07360586707,0.0736058670720691,2.0691087732060964e-12,0.3582766236,0.35827662358323975,-1.676025984664875e-11,0.819639995,0.7961639085813261,-0.023476086418673825,0.0137695951,0.013769595101203739,1.2037384977681143e-12,3.398326055,3.3748499682342064,-0.023476086765793713
Bhutan,Cote d'Ivoire,1.018766015,1.0187660146696866,-3.3031333224187165e-10,0.004138644036,0.004138644035132819,-8.67181326746902e-13,0.3805487001,0.3805487000693232,-3.0676849949173857e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.7853120816,0.7853120814020472,-1.979527652906654e-10,0.2870068419,0.28700684188035697,-1.96430094412392e-11,0.08678810967,0.08678810965763108,-1.236892532840983e-11,0.4173974705,0.4173974704479967,-5.200329056265218e-11,0.9506391159,0.9228966017320852,-0.027742514167914845,0.01627519505,0.016275195042368483,-7.631516946160488e-12,3.946872174,3.9191296589366282,-0.027742515063371886
Bolivia,Croatia,28.95903395,9.398926175444254,-19.560107774555746,0.1031993158,0.03750097999083933,-0.06569833580916067,10.45157603,3.495639904160123,-6.955936125839877,0.0,0.0,0.0,0.0,0.0,0.0,22.91666465,7.271673068023302,-15.644991581976699,8.109017686,2.6469027611016127,-5.462114924898387,2.203913468,0.7885206722263728,-1.4153927957736272,11.54094645,3.838125074924273,-7.702821375075727,27.2523059,8.5290986353335,-18.7232072646665,0.4065270656,0.14751012137191752,-0.2590169442280825,111.9431845,36.15389739257619,-75.7892871074238
"Bonaire, Saint Eustatius and Saba",Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,Democratic Republic of the Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,Djibouti,2332.291709,2348.382976801233,16.09126780123279,99.9827681,100.03516324303038,0.052395143030381064,947.0652812,952.7437759874183,5.6784947874183445,2.655487925,2.6554879250654073,6.540723518355662e-11,13.71638206,13.71638205982078,-1.7922019424077007e-10,1630.740964,1643.6810029919277,12.940038991927622,562.1364243,566.623006944726,4.4865826447259,223.1478707,224.28187452079962,1.1340038207996201,1013.53278,1019.8299285763426,6.297148576342579,1889.837275,1854.7161191825417,-35.12115581745843,29.30053281,29.507191847090343,0.2066590370903434,8744.407475,8756.172910079995,11.765435079994859
Brazil,Dominica,26289.59234,26379.35855981676,89.76621981675999,698.9335161,699.250983210581,0.3174671105809921,10268.91329,10301.314024777146,32.40073477714577,17.60241657,17.602416567409946,-2.590052616824323e-09,90.67223413,90.67223413342222,3.422215399950801e-09,19232.99969,19304.091285293394,71.09159529339377,6809.368921,6834.541633007496,25.172712007495647,2405.368229,2412.1628203245027,6.794591324502562,11107.3162,11143.118080731272,35.80188073127283,22729.25285,22183.174388302403,-546.078461697598,368.4834049,369.7342612079323,1.250856307932338,100018.5031,99735.02068737234,-283.4824126276653
British Virgin Islands,Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,Eritrea,577.0084996,557.7514069817136,-19.257092618286492,36.2897442,36.22191865205226,-0.06782554794774143,239.9573743,233.01414770617018,-6.94322659382982,1.034342709,1.0343427089264356,-7.356426579008257e-11,5.293786539,5.293786538589158,-4.1084202706542783e-10,385.2293551,369.966607166212,-15.262747933788035,131.0436506,125.64473684914948,-5.398913750850525,62.55339676,61.10093027994529,-1.45246648005471,254.0985612,246.42502376756096,-7.673537432439048,440.4852262,410.76201347675647,-29.723212723243535,7.064369443,6.797114780782022,-0.26725466221797856,2140.058307,2054.0120289078577,-86.04627809214207
